CÓD. DEP.,DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,CÓDIGO CULTIVO,NOMBRE CIENTIFICO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha),ESTADO FISICO PRODUCCION
5,ANTIOQUIA,5819,TOLEDO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,13,8,56,7,FRUTO FRESCO
5,ANTIOQUIA,5079,BARBOSA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,12,8,41,5,FRUTO FRESCO
5,ANTIOQUIA,5129,CALDAS,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,12,12,46,4,FRUTO FRESCO
5,ANTIOQUIA,5145,CARAMANTA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,10,5,50,10,FRUTO FRESCO
5,ANTIOQUIA,5380,LA ESTRELLA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,7,5,35,7,FRUTO FRESCO
5,ANTIOQUIA,5237,DON MATIAS,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,6,5,25,5,FRUTO FRESCO
5,ANTIOQUIA,5206,CONCEPCION,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,5,5,15,3,FRUTO FRESCO
5,ANTIOQUIA,5809,TITIRIBI,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,4,4,19,5.5,FRUTO FRESCO
5,ANTIOQUIA,5353,HISPANIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,3,3,19,6.2,FRUTO FRESCO
81,ARAUCA,81794,TAME,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,177,150,2400,16,FRUTO FRESCO
81,ARAUCA,81736,SARAVENA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,69,32,630,20,FRUTO FRESCO
81,ARAUCA,81065,ARAUQUITA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,61,41,615,15,FRUTO FRESCO
81,ARAUCA,81300,FORTUL,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,35,15,222,15,FRUTO FRESCO
81,ARAUCA,81001,ARAUCA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,14,0,0,0,FRUTO FRESCO
81,ARAUCA,81591,PUERTO RONDON,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,2,0,0,0,FRUTO FRESCO
8,ATLANTICO,8606,REPELON,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,43,5,55,12,FRUTO FRESCO
13,BOLIVAR,13244,EL CARMEN DE BOLIVAR,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,2140,1880,18800,10,FRUTO FRESCO
13,BOLIVAR,13654,SAN JACINTO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,530,350,5250,15,FRUTO FRESCO
13,BOLIVAR,13688,SANTA ROSA DEL SUR,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,123,123,1230,10,FRUTO FRESCO
13,BOLIVAR,13667,SAN MARTIN DE LOBA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,90,70,700,10,FRUTO FRESCO
13,BOLIVAR,13006,ACHÍ,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,80,80,1200,15,FRUTO FRESCO
13,BOLIVAR,13074,BARRANCO DE LOBA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,15,15,150,10,FRUTO FRESCO
13,BOLIVAR,13268,EL PEÑON,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,9,9,108,12,FRUTO FRESCO
13,BOLIVAR,13673,SANTA CATALINA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,5,1,6,6,FRUTO FRESCO
15,BOYACA,15531,PAUNA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,296,96,384,4,FRUTO FRESCO
15,BOYACA,15507,OTANCHE,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,200,90,1080,12,FRUTO FRESCO
15,BOYACA,15212,COPER,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,149,58,710,12.2,FRUTO FRESCO
15,BOYACA,15832,TUNUNGUA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,138,117,1521,13,FRUTO FRESCO
15,BOYACA,15580,QUIPAMA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,127,57,1026,18,FRUTO FRESCO
15,BOYACA,15681,SAN PABLO DE BORBUR,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,110,72,288,4,FRUTO FRESCO
15,BOYACA,15109,BUENAVISTA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,44,26,247,9.5,FRUTO FRESCO
15,BOYACA,15480,MUZO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,43,33,325,10,FRUTO FRESCO
15,BOYACA,15401,LA VICTORIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,20,17,68,4,FRUTO FRESCO
15,BOYACA,15367,JENESANO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,17,12,120,10,FRUTO FRESCO
15,BOYACA,15572,PUERTO BOYACA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,15,9,135,15,FRUTO FRESCO
15,BOYACA,15673,SAN MATEO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,14,0,0,0,FRUTO FRESCO
15,BOYACA,15106,BRICEÑO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,12,10,40,4,FRUTO FRESCO
15,BOYACA,15377,LABRANZAGRANDE,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,8,8,32,4,FRUTO FRESCO
